user_id,mc_attempts,sa_attempts,cust_attempts,avg_activity_time,stddev_activity_time
310637,809,490,1262,4088.931914893617,20942.581332674505
310658,836,489,1108,1566.3474576271187,17210.205101885706
310676,959,567,1150,8269.857677902623,50125.382652378205
310689,602,369,592,2925.222222222222,37806.26783770468
310697,313,171,330,5374.402777777777,38447.15941911528
310705,823,484,1278,11505.248927038627,105824.94810998431
310728,817,490,1112,7088.44,43206.51180188915
310764,912,519,1264,1045.2471482889734,14982.165504936544
310765,708,500,1119,7950.392241379311,58184.55489831994
310768,1063,661,1369,6163.641693811075,49680.60843145504
310801,947,655,869,4051.6455696202534,37484.44166099528
310804,680,366,789,3156.2345679012346,39584.74984077906
310807,1357,1019,1868,11945.819494584837,93851.35613693956
310813,702,532,1020,6903.958579881657,45263.90267291143
310820,1019,509,1039,5071.79296875,45276.04517813649
310824,814,463,1004,2722.805907172996,31337.02893198719
310826,920,541,1164,1722.211155378486,11583.911743760616
310827,913,531,1208,15032.46692607004,172572.15617183657
310830,1115,686,1380,6015.590322580645,52124.096497054124
310834,874,629,1144,5506.9808429118775,31276.276781593784
310847,1343,1037,1781,738.2372881355932,5075.5514587253965
310848,904,702,1489,5013.4192439862545,43974.96424529929
310871,916,577,1301,2806.021739130435,32395.341460483844
310974,899,519,1155,3385.8513011152418,28271.053924204327
311055,924,592,1484,4746.55,30633.445363021194
311375,821,537,940,193.98173515981736,927.8442607150886
311414,1329,883,1538,3109.1649831649834,24620.529673460376
311562,845,522,1310,1014.5800865800866,8434.53050683511
311623,1096,605,1456,31430.652329749104,262317.50127720024
311661,922,506,1143,1200.1992337164752,10535.225640247225
311716,1128,825,1480,5700.101754385965,36799.77670066059
311770,966,552,1454,9882.771739130434,56188.72372413977
311778,939,572,1402,3672.3101045296166,34228.72015586318
311782,954,614,1358,6824.186206896552,51029.67920160278
311798,917,614,1060,5671.155303030303,38561.56963769184
311804,1248,647,1201,310.8949044585987,2974.0912127295783
311897,1033,896,1806,14330.17578125,102950.68746718043
312184,117,14,173,2084.090909090909,6358.980344577837
312219,294,141,336,2341.6060606060605,16816.782174481614
313329,292,95,422,18883.53846153846,84060.62686247045
317451,0,0,37,4016.0,5672.410598678484
328973,10,2,13,2.3333333333333335,2.081665999466133
